	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
EPZSDualRefinement=1	0.05 	-0.00 	-0.00 	0.02 	0.00 	0.00 	0.02 	-0.00 	0.00 	0.02 	-0.00 	0.00 	
EPZSDualRefinement=0	0.06 	0.00 	-0.00 	0.03 	0.00 	-0.00 	0.02 	-0.00 	-0.00 	0.02 	0.00 	-0.00 	
BiPredMERefinements=0	0.07 	0.00 	-0.00 	0.04 	0.00 	0.00 	0.03 	-0.00 	-0.00 	0.04 	0.00 	-0.00 	
PSliceSearch8x4=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
BSliceSearch16x16=0	0.21 	0.00 	-0.01 	0.18 	0.00 	-0.02 	0.17 	0.00 	-0.01 	0.18 	0.00 	-0.00 	
MDDistortion=1	0.04 	0.00 	-0.01 	0.01 	0.00 	-0.01 	0.01 	0.00 	-0.00 	-0.02 	0.00 	-0.01 	
MDDistortion=0	0.02 	0.00 	-0.02 	-0.00 	0.00 	-0.01 	0.00 	0.00 	-0.01 	0.01 	0.00 	-0.01 	
MEDistortionHPel=1	0.05 	-0.00 	-0.02 	0.03 	-0.00 	-0.02 	0.03 	-0.00 	-0.02 	0.04 	-0.00 	-0.02 	
MEDistortionHPel=0	0.02 	-0.00 	-0.02 	-0.02 	-0.00 	-0.02 	-0.02 	-0.00 	-0.02 	-0.00 	-0.00 	-0.02 	
PSliceSearch8x8=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
ChromaMEEnable=1	0.08 	0.00 	-0.00 	0.04 	0.00 	-0.00 	0.02 	0.00 	0.00 	0.04 	0.00 	0.00 	
