	RaceHorses_832x480_30.yuv 832x480 30		
	Time 	PSNR 	Bitrate 
c25	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 0 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c26	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 2 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c27	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 1 --rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c28	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --no-rect --amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c29	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --no-amp --no-wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c30	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --wpp --weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c31	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --no-weightp --weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c32	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --no-weightb --sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c33	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --no-sao --no-tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
c34	--me star --ctu 64 --bframes 4 --tu-inter-depth 3 --merange 64 --max-merge 5 --rdpenalty 2 --rd 6 --tu-intra-depth 3 --rect --amp --no-wpp --weightp --weightb --sao --tskip --no-tskip-fast --no-early-skip --no-fast-cbf --b-intra --no-fast-intra --lft --ref 5 --subme 7
